Date,BTS1,BTS2,BTS3,BTS4,BTS5
11/1/2018 7:30,5.771911,5.617973,3.08783,3.054774,3.697372
11/1/2018 7:30,6.080474,5.764082,3.102518,3.854351,3.544818
11/1/2018 7:30,5.872027,5.374685,3.73009,3.826976,5.322238
11/1/2018 7:30,6.04372,5.456986,3.192029,3.580332,4.599419
11/1/2018 7:30,6.016553,5.044762,3.791965,3.357061,4.231565
11/1/2018 7:30,6.368001,5.354123,3.198517,2.950746,4.315617
11/1/2018 7:30,6.097888,4.505717,3.448627,4.744019,5.165382
11/1/2018 7:30,6.322421,4.403123,3.092949,3.550859,4.04656
11/1/2018 7:30,5.862296,4.277327,2.529161,3.116944,3.623784
11/1/2018 7:30,6.116498,5.751279,3.434408,3.686499,5.0092
11/1/2018 7:30,5.654581,5.367583,3.064945,3.075208,3.623454
11/1/2018 7:31,6.095754,4.645067,3.532346,3.513648,4.57272
11/1/2018 7:31,6.232018,9.09209,2.799141,3.395518,3.798374
11/1/2018 7:31,6.098397,6.728574,3.010589,2.451811,3.331528
11/1/2018 7:31,6.103779,7.097365,3.841737,2.359025,3.927952
11/1/2018 7:31,6.275073,4.998527,2.90594,3.52466,3.135768
11/1/2018 7:31,6.006998,5.280674,3.007508,4.103904,2.624697
11/1/2018 7:31,6.242387,5.197536,3.76887,2.923247,3.861607
11/1/2018 7:31,6.085299,4.41742,3.156847,3.020207,3.306124
11/1/2018 7:31,6.046362,5.492634,2.909767,4.001917,2.955262
11/1/2018 7:31,5.762915,4.941311,2.486944,3.086965,3.968229
11/1/2018 7:31,6.017023,7.973252,3.064746,3.163183,4.634599
11/1/2018 7:31,6.047863,4.167052,3.209764,3.747591,3.219822
11/1/2018 7:32,6.262563,5.02072,3.167561,2.373098,4.081146
11/1/2018 7:32,5.942824,5.451959,2.996887,4.280292,4.072522
11/1/2018 7:32,5.99058,7.615822,3.103378,3.218187,3.733286
11/1/2018 7:32,5.803175,10.193691,3.022228,3.815801,3.981878
11/1/2018 7:32,6.195651,6.412537,3.209572,3.353676,3.855596
11/1/2018 7:32,5.996704,4.608582,3.443265,3.810193,5.021691
11/1/2018 7:32,5.925486,5.579047,4.081711,3.463825,3.516865
11/1/2018 7:32,6.279679,4.900947,4.246249,3.462836,4.903444
11/1/2018 7:32,5.907232,3.521996,3.119274,2.671836,4.344438
11/1/2018 7:32,5.863966,3.995515,3.217341,3.061695,4.033828
11/1/2018 7:32,5.648337,5.390533,3.330806,4.443084,4.547875
